segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
AS1	ab7aj	S01-chunked_ab7aj-7-5-12	85.85	1	0.04293	1.467	1.51	0.0365	0.1028	14.9744	827.958	1477.013	3048.17	257.063	514.126	1.3775	51.5252	50.1453	-1.9177	53.4464	5.8905	45.6248	18.608	32.8902	132.919	480.015	BG	H	BG	H	S01
AS1	ab7aj	S01-chunked_ab7aj-7-5-12	85.85	2	0.04293	1.51	1.553	0.0128	0.1028	25.9901	737.408	1608.919	3279.644	319.014	638.028	3.1474	55.5678	52.4138	14.2804	41.2605	6.0616	49.4938	28.4741	27.048	132.919	480.015	BG	H	BG	H	S01
IS0	tijb7ij	S01-chunked_ab7aj-7-7-16	130	1	0.065	2.06	2.125	0.0044	0.1028	20.0944	608.606	1713.372	3027.88	193.773	387.547	0.8309	48.1103	47.2773	0.4284	47.6809	14.8236	33.2539	23.1343	24.9301	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_ab7aj-7-7-16	130	2	0.065	2.125	2.19	0.0342	0.1028	21.6877	918.185	2102.917	3249.816	174.474	348.948	7.5852	54.5688	46.9733	24.0763	30.4652	21.6405	32.9031	29.4006	25.137	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_ab7aj-7-7-19	510	1	0.255	2.66	2.915	NA	0.1028	NA	1071.461	3429.044	3704.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_ab7aj-7-7-19	510	2	0.255	2.915	3.17	NA	0.1028	NA	1126.857	3761.255	3812.796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aj7iitz7-8-2-3	60	1	0.03	0.51	0.54	NA	0.083	NA	1035.122	2295.6	3502.856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aj7iitz7-8-2-3	60	2	0.03	0.54	0.57	NA	0.083	NA	966.116	2414.935	3536.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aj7iitz7-8-3-6	180	1	0.09	0.99	1.08	0.0067	0.083	15.9682	598.079	2314.912	3325.16	233.06	466.119	-2.4432	53.6174	56.0678	16.3352	37.2423	19.9247	33.6459	25.412	28.1495	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aj7iitz7-8-3-6	180	2	0.09	1.08	1.17	0.0106	0.083	27.9105	503.464	2563.364	3120.895	248.914	497.828	-5.3181	51.3297	56.6688	-5.3181	56.6688	17.0994	34.1769	16.7661	34.5111	132.919	480.015	T	KG	T	KG	S01
